NamePlanet,NamePlanet_link,star_name,AltName,RAdeg,DECdeg,RadiusPlanet_EU,orbital_period_EU,semi_major_axis_EU,eccentricity_EU,inclination_EU,omega_EU,tzero_tr_EU,log_g_EU,magK_EU,star_Metallicity_EU,star_Radius_EU,star_Teff_EU,Tstar_Ex,FeH_star_Ex,Rstar_Ex,loggstar_Ex,semimajoraxis_Ex,Rpl_Ex
Kepler-11 g,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=279,KOI-157,KEPLER-11,297.115123,41.909138,0.3274,118.37774,0.462,,89.8,,2455120.2901,,,,1.1,5680,,,,,,
WASP-79 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=401,CD-30  1812,WASP-79,66.3709008,-30.6004453,1.7,3.6623817,0.0539,,85.4,,2455545.23479,,,0.03,1.64,6600,6600,0.03,1.91,4.06,0.05,2.09
Kepler-448 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=330,KOI-12,Kepler-448,297.4537228,41.01100766,1.43,17.8552333,0.151,,88.95,,,,,,1.63,6820,,,,,,
Kepler-79 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=357,Kepler-79,Kepler-79,300.517108,44.381556,0.309568,13.4845,0.117,0.015,88.78,,,,,,1.302,6174,,,,,,
Kepler-79 c,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=358,Kepler-79,Kepler-79,300.517108,44.381556,0.332,27.4029,0.187,0.03,89.48,,,,,,1.302,6174,,,,,,
Kepler-79 d,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=359,Kepler-79,Kepler-79,300.517108,44.381556,0.64,52.0902,0.287,0.025,89.93,,,,,,1.302,6174,,,,,,
Kepler-79 e,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=360,Kepler-79,Kepler-79,300.517108,44.381556,0.312,81.0659,0.386,0.012,89.13,,,,,,1.302,6174,,,,,,
CoRoT-2 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=209,CoRoT-2,CoRoT-2,291.777067,1.383717,1.465,1.7429964,0.0281,,87.84,,2454706.4041,,,-0.04,0.902,5575,,,,,,
WASP-67 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=397,TYC 6307-1388-1,WASP-67,295.7438357,-19.9495925,1.4,4.61442,0.0517,,85.8,,2455824.3742,,,-0.07,0.87,5200,5417,0.18,0.82,4.53,0.05,1.09
EPIC-210490365 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=210,UCAC4 527-008015,EPIC 210490365,63.27335,15.247783,0.306,3.484552,,0.27,88.32,62.1,2457062.57935,,,0.15,0.295,3180,,,,,,
HAT-P-41 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=232,TYC  488-2442-1,HAT-P-41,297.3226596,4.6724342,1.685,2.694047,0.0426,,87.7,,2454983.86167,,,0.13,1.19,6479,6390,0.21,1.68,4.14,0.04,1.69
HD 189733 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=238,HD 189733,HD 189733,300.1821367,22.7108539,1.138,2.21857312,0.03142,0.0041,85.51,90,2453988.80336,,,-0.03,0.805,4875,5050,-0.03,0.75,4.61,0.03,1.15
HD 219134 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=240,HD 219134,HD 219134,348.3207347,57.1683562,0.14292,3.0931,0.038474,,85.058,,2457126.7001,,,0.11,0.778,4699,,,,,,
HD 219134 c,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=241,HD 219134,HD 219134,348.3207347,57.1683562,,6.7635,0.064816,,,,,,,0.11,0.778,4699,,,,,,
HD 219134 d,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=242,HD 219134,HD 219134,348.3207347,57.1683562,,46.71,0.23508,,,,,,,0.11,0.778,4699,,,,,,
HD 219134 e,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=243,HD 219134,HD 219134,348.3207347,57.1683562,,1842,2.56,0.34,,345.42,,,,0.11,0.778,4699,,,,,,
HD 219134 g,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=244,HD 219134,HD 219134,348.3207347,57.1683562,,94.2,0.3753,,,,,,,0.11,0.778,4699,,,,,,
HD 219134 h,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=245,HD 219134,HD 219134,348.3207347,57.1683562,,2198,3.064,0.37,,180,,,,0.11,0.778,4699,,,,,,
WASP-80 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=402,TYC 5165-481-1,WASP-80,303.1673565,-2.1442206,0.952,3.0678504,0.0346,0.07,89.92,,2456125.41751,,8.351,-0.14,0.63,4145,4145,-0.14,0.59,4.67,0.03,0.99
WASP-74 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=399,BD-01  3943,WASP-74,304.5388383,-1.0757203,1.404,2.1377445,0.03443,,79.86,,2457173.87198,,,0.39,1.64,5970,5990,0.39,1.64,4.18,0.04,1.56
HAT-P-32 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=230,TYC 3281-800-1,HAT-P-32,31.0428292,46.6878378,1.789,2.150008,0.0343,0.0072,88.9,96,2455855.57877,,,-0.16,1.387,6001,6207,-0.04,1.22,4.33,0.03,1.79
WASP-33 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=389,HD 15082,WASP-33,36.7127433,37.5504822,1.603,1.21986967,0.02558,,87.7,,2454590.17936,,,0.1,1.444,7400,7430,0.1,1.51,4.27,0.03,1.68
WASP-18 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=385,HD 10069,WASP-18,24.354305,-45.6778814,1.165,0.9414518,0.02047,0.0088,86,269,2454221.48163,,,,1.23,6400,,,,,,
HAT-P-38 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=231,GSC 02314-00559,HAT-P-38,35.383,32.24633,0.825,4.640382,0.0523,0.067,88.3,240,2455863.11957,,,0.06,0.923,5330,,,,,,
HAT-P-17 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=225,TYC 2717-417-1,HAT-P-17,324.5363771,30.4887369,1.01,10.338523,0.0882,0.346,89.2,201,2454804.246,,,,0.837,5246,5246,,0.84,4.52,0.09,1.01
HAT-P-17 c,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=226,TYC 2717-417-1,HAT-P-17,324.5363771,30.4887369,,1798,2.75,0.1,,155,,,,,0.837,5246,5246,,0.84,4.52,,
WASP-69 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=398,BD-05  5432,WASP-69,315.0258199,-5.0944526,1.057,3.8681382,0.04525,,86.71,,2455748.83344,,,0.144,0.813,4715,4700,0.15,0.81,4.54,0.05,1.06
WASP-4 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=391,TYC 8017-108-1,WASP-4,353.5628619,-42.0614035,1.395,1.33823187,0.02312,,88.8,,2454823.59192,,,-0.03,1.15,5500,5540,-0.03,0.91,4.49,0.02,1.36
HAT-P-1 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=219,BD+37  4734B,HAT-P-1,344.445183,38.675092,1.319,4.46529976,0.05561,0.067,85.634,360,2453979.93202,,,0.13,1.174,5980,5975,0.13,1.17,4.36,0.06,1.32
WASP-29 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=387,TYC 8015-1020-1,WASP-29,357.8795163,-39.9067397,0.8412897516,3.922727,0.0457,0.03,88.8,,2455320.2431,,,0.11,0.846,4800,4875,0.11,0.81,4.54,0.05,0.78
KELT-1 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=261,TYC 2785-2130-1,KELT-1,0.3621692,39.3838258,1.15,1.217514,0.02472,0.01,87.6,61,2455914.1628,,,0.052,1.471,6516,,,,,,
HD 209458 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=239,V* V376 Peg,HD 209458,330.7948867,18.8843194,1.38,3.52472,0.04747,0.0082,86.59,43.8,2453344.76824,,,0.02,1.203,6092,6117,0.02,1.16,4.37,0.05,1.38
K2-55 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=260,K2-55,K2-55,333.7519353,-17.25070505,0.3952,2.849275,0.0347,0.124,88,195,2456983.4229,,,0.376,0.715,4300,,,,,,
WASP-76 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=400,BD+01   316,WASP-76,26.6327458,2.7005736,1.83,1.809886,0.033,,88,,2456107.85507,,,0.23,1.73,6250,6250,0.23,1.73,4.13,0.03,1.83
WASP-6 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=394,TYC 6972-75-1,WASP-6,348.1572417,-22.6739614,1.224,3.361006,0.0421,0.054,88.47,1.7,,,,-0.2,0.87,5450,5375,-0.2,0.86,4.49,0.04,1.23
WASP-52 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=393,WASP-52,WASP-52,348.49483,8.76128,1.27,1.7497798,0.0272,,85.35,,2455793.68143,,,0.03,0.79,5000,5000,0.03,0.79,4.55,0.03,1.25
TRAPPIST-1 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=367,2MASS J23062928-0502285,TRAPPIST-1,346.62233,-5.04144,0.09689,1.51087081,0.01111,,89.65,,2457322.51736,,,0.04,0.117,2560,,,,,,
TRAPPIST-1 c,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=368,2MASS J23062928-0502285,TRAPPIST-1,346.62233,-5.04144,0.09421,2.4218233,0.01521,,89.67,,2457282.80728,,,0.04,0.117,2560,,,,,,
TRAPPIST-1 d,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=369,2MASS J23062928-0502285,TRAPPIST-1,346.62233,-5.04144,0.0689,4.04961,0.02144,,89.75,,2457670.14165,,,0.04,0.117,2560,,,,,,
TRAPPIST-1 e,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=370,2MASS J23062928-0502285,TRAPPIST-1,346.62233,-5.04144,0.0819,6.099615,0.02817,,89.86,,2457660.37859,,,0.04,0.117,2560,,,,,,
TRAPPIST-1 f,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=371,2MASS J23062928-0502285,TRAPPIST-1,346.62233,-5.04144,0.09323,9.20669,0.0371,,89.68,,2457671.39767,,,0.04,0.117,2560,,,,,,
TRAPPIST-1 g,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=372,2MASS J23062928-0502285,TRAPPIST-1,346.62233,-5.04144,0.1005,12.35294,0.0451,,89.71,,2457665.34937,,,0.04,0.117,2560,,,,,,
TRAPPIST-1 h,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=373,2MASS J23062928-0502285,TRAPPIST-1,346.62233,-5.04144,0.0674,20,0.063,,89.8,,2457662.55463,,,0.04,0.117,2560,,,,,,
HD 3167 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=246,HD   3167,HD 3167,8.73968386,4.38146805,0.152,0.959641,0.01815,,83.4,,2457394.37454,,,,0.828,5367,,,,,,
HD 3167 c,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=247,HD   3167,HD 3167,8.73968386,4.38146805,0.269,29.8454,0.1795,0.267,89.3,180,2457394.9788,,,,0.828,5367,,,,,,
HD 3167 d,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=248,HD   3167,HD 3167,8.73968386,4.38146805,,8.492,0.07757,0.36,,176,,,,,0.828,5367,,,,,,
