planet_name;visit;observation;ephemeris;ephemeris_error;period;period_error;expstart;exptime;phase_error;number_of_periods 
HD3167c;15333.15; transit with an additional transit by HD3167b;2457394.979;1.20E-03;29.8454;1.20E-03;58707.44213;69.617;1.77E-03;44
HD106315c;15333.11; transit;2457590.075;3.31E-03;21.057504;2.17E-03;58452.69867;138.381;4.22E-03;41
HD106315c;15333.12; transit;2457590.075;3.31E-03;21.057504;2.17E-03;58473.88076;138.381;4.33E-03;42
HD106315c;15333.13; transit;2457590.075;3.31E-03;21.057504;2.17E-03;58515.86132;138.381;4.53E-03;44
HIP41378b;15333.03; transit;2457152.284;2.10E-03;15.5712;1.20E-03;58132.60087;138.381;4.85E-03;63
HIP41378b;15333.04; transit;2457152.284;2.10E-03;15.5712;1.20E-03;58241.59336;138.381;5.39E-03;70
GJ9827d;15333.09; transit;2457740.961;4.40E-04;6.2014698;6.26E-05;58391.5456;92.538;1.06E-03;105
GJ9827d;15333.01; transit;2457740.961;4.40E-04;6.2014698;6.26E-05;58081.44941;92.538;5.55E-04;55
GJ9827d;15333.02; transit;2457740.961;4.40E-04;6.2014698;6.26E-05;58106.2824;92.538;5.95E-04;59
GJ9827d;15333.17; transit;2457740.961;4.40E-04;6.2014698;6.26E-05;58751.2707;92.538;1.65E-03;163
GJ9827d;15333.1; transit;2457740.961;4.40E-04;6.2014698;6.26E-05;58447.49457;92.538;1.15E-03;114
GJ9827d;15333.19; transit;2457740.961;4.40E-04;6.2014698;6.26E-05;58788.4837;92.538;1.71E-03;169
GJ9827d;15333.2; transit;2457740.961;4.40E-04;6.2014698;6.26E-05;58807.08042;92.538;1.74E-03;172
GJ9827d;15333.24; transit;2457740.961;4.40E-04;6.2014698;6.26E-05;58856.72896;92.538;1.82E-03;180
GJ9827d;15333.18; transit;2457740.961;4.40E-04;6.2014698;6.26E-05;58757.48849;92.538;1.66E-03;164
GJ9827d;15333.22; transit;2457740.961;4.40E-04;6.2014698;6.26E-05;58813.30006;92.538;1.75E-03;173
HD3167c;15333.14; transit with an additional transit by HD3167b;2457394.979;1.20E-03;29.8454;1.20E-03;58647.78452;69.617;1.69E-03;42
HD106315c;15333.21; transit;2457590.075;3.31E-03;21.057504;2.17E-03;58810.68797;138.381;5.98E-03;58
GJ9827b;15428.02; transit;2457738.826;2.60E-04;1.2089819;6.93E-06;58752.71877;92.538;4.81E-03;839
WASP-117b;15301.01; transit;2457355.514;5.50E-04;10.020607;1.10E-05;58748.19056;103.129;1.53E-04;139
